,year,oil_index,mineral_index,country,oil_prod,oil_ex,oil_im,oil_reim,oil_reex,mineral_ex,mineral_im,mineral_reim,mineral_reex,Administrative fees for government services,Bonuses,Compulsory transfers to government (infrastructure and other),Customs and other import duties,Delivered/paid directly to government,Delivered/paid to state-owned enterprise(s),Dividends,Emission and pollution taxes,Excise taxes,"Extraordinary taxes on income, profits and capital gains","Fines, penalties, and forfeits",From government participation (equity),From state-owned enterprises,"General taxes on goods and services (VAT, sales tax, turnover tax)",Licence fees,Motor vehicle taxes,"Ordinary taxes on income, profits and capital gains",Other rent payments,Other taxes payable by natural resource companies,Profits of natural resource export monopolies,Rent,Revenues not classified,Royalties,Sales of goods and services by government units,Social security employer contributions,Taxes on exports,Taxes on payroll and workforce,Taxes on property,Voluntary transfers to government (donations),Withdrawals from income of quasi-corporations,total_revenue,oil_prod_USD,ratio_rev_oilprod
214,2011,111.26,229.7191412,Timor-Leste,83.74246575,0,0,0,0,0,0,0,0,3069000,0,0,0,0,0,0,0,0,569338573,0,0,0,16196460,7978400,0,675210945,0,0,0,0,0,2121469995,960000,0,0,0,0,0,0,3394223373,3400773160,0.99807403
215,2012,111.63,191.0341399,Timor-Leste,79.49453552,0,0,0,0,0,0,0,0,4897750,0,0,0,0,0,0,0,0,0,266067076,0,0,17998392,242625,0,1307478941,0,0,0,0,0,2174665768,9594400,0,0,0,0,0,0,3780944952,3239000875,1.167318287
216,2013,108.56,182.901893,Timor-Leste,79.25753425,0,0,0,0,0,84095,0,0,3983200,0,0,0,0,0,0,0,0,0,17194540,0,0,17607462,35063,0,1106827371,0,0,0,0,0,2088389050,9167200,0,0,0,0,0,0,3243203886,3140532240,1.032692435
217,2014,98.97,164.3753612,Timor-Leste,74.23287671,0,0,0,0,0,0,0,0,3339350,0,0,0,0,0,0,0,18444061.99,297302142,0,0,0,29645349.67,0,0,372781316,0,0,0,0,0,1133610094,7163200,0,0,0,0,0,0,1862285514,2681592150,0.69447008
218,2005,54.57,100,Yemen,400.1455425,4754225829,0,0,0,10639,1066731,0,0,32067122,2500000,3300000,0,4614963973,1666618,0,0,0,13657262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4668154975,7970118923,0.585707067
219,2006,65.16,156.1961728,Yemen,374.9071534,5637526037,1312974,0,0,24115,2258245,0,0,34255557,1150000,3650000,0,5022000432,1668355,0,0,0,58307909,0,0,0,0,0,0,1319016,0,0,0,0,0,0,0,0,0,0,0,0,0,5122351269,8916566792,0.574475736
220,2007,72.44,183.3122475,Yemen,318.6921342,4972805485,860375,133478,0,138485,1439330,0,0,31468728,3755000,3300000,0,5247509519,2214817,0,0,0,40035278,2795033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5331078375,8426411244,0.632662971
221,2008,96.94,169.0130834,Yemen,298.3293415,5879904021,386250,37444,0,201590,183205,0,0,49210774,32300000,7899838,0,7359262545,2277399,0,0,0,113543795,12090215,0,0,0,0,0,0,0,0,0,0,0,0,1501380,0,0,0,0,0,0,7578085946,10555816923,0.717906156
222,2009,61.74,136.5303027,Yemen,285.1566192,5034531269,229470,0,0,20065,94725,822,0,55046374,2500000,7600000,0,3525723947,2886225,0,0,0,21006283,18226305,0,0,0,12361,0,0,0,0,0,0,0,0,1465380,0,0,10601765,0,0,0,3645068640,6426032929,0.567234666
223,2010,79.61,202.3197645,Yemen,279.9965753,4517788897,0,41,0,12886,1087760,8293,0,62913428,0,6872000,0,4838164966,2357777,0,0,0,56294970,1356506,0,0,0,5239356,0,15615301,84075000,0,0,0,0,12910000,1188135,0,0,0,0,0,0,5086987439,8136042486,0.625241012
224,2011,111.26,229.7191412,Yemen,216.3890411,4480390019,176058,36008,0,1749425,961345,463173,0,54290000,5.00E+05,13010000,0,5170903000,2419000,0,0,0,60560000,3749000,0,0,0,13942000,0,0,154877000,12162000,0,0,0,25137000,0,0,0,0,0,0,0,5511549000,8787537320,0.627200636
225,2008,96.94,169.0130834,Zambia,NA,0,481852921,0,0,770302294,426953873,0,0,383776,0,1829937,172719962,0,0,0,0,654195,33675040,0,0,0,33782295,8859,0,115013281,0,0,0,0,0,63560299,0,0,33623379,0,5475011,0,0,460726034,NA,NA
226,2009,61.74,136.5303027,Zambia,NA,68,430834328,0,0,482972643,339321928,0,0,23630,0,2120510,147414868,0,0,0,0,210085,0,0,0,0,48740358,77441,0,81124453,0,21035921,0,0,0,55480558,0,0,0,0,7014025,0,0,363241849,NA,NA
227,2010,79.61,202.3197645,Zambia,NA,1031,508785137,0,0,523616836,841439145,0,0,19951,0,3095642,130660521,0,0,0,0,546567,0,0,0,0,126432561,72969,0,258096027,0,21815511,0,0,0,81501596,0,0,0,0,9161391,0,0,631402736,NA,NA
228,2011,111.26,229.7191412,Zambia,NA,54613,335384993,0,0,202754042,942740352,0,0,468519,0,6147325,204136831,0,0,0,0,1931481,106663992,0,0,21693416,40926543,609877,0,677586214,0,21018724,0,0,0,301636214,0,0,1646,0,9526749,0,0,1392347531,NA,NA
229,2012,111.63,191.0341399,Zambia,NA,0,543930522,0,0,71439321,1039231536,0,0,263800,0,268090,341282194,0,0,0,0,4236183,0,0,0,46056174,61876831,884704,0,538830204,0,28690244,0,0,0,291305069,0,0,357443,0,15119283,0,0,1329170219,NA,NA
230,2013,108.56,182.901893,Zambia,NA,47612,89050367,0,0,94094274,1560439054,0,0,182155,0,1684055,496373632,0,0,0,0,4110746,0,0,0,46535606,80158749,1512652,0,244822042,0,29567859,0,0,0,319839422,0,0,1484894,0,12430901,0,0,1238702713,NA,NA
231,2014,98.97,164.3753612,Zambia,NA,95018,179450367,0,0,57871195,1425028246,0,0,0,0,0,414097335,0,0,0,0,0,0,0,0,123260107,142697113,5142163,0,311208490,15466477,72456921,0,0,0,295825247,0,0,3481904,0,0,0,0,1383635757,NA,NA
232,2015,52.32,126.5737353,Zambia,NA,24158,394424584,0,0,27307533,613071298,0,0,0,0,0,180205352,0,0,0,0,1285202,0,0,3504051,3200000,91919292,1562891,0,137669827,9612716,14316975,0,0,0,423191263,0,0,662841,0,64320,0,0,867194730,NA,NA
